id,nombre,apellido,email,genero,valor_tx,numero_identificacion,tipo_identificacion
1,Jeniece,Butchard,jbutchard0@ca.gov,Female,$255157.67,859371370,CC
2,Yehudi,Panyer,ypanyer1@youtube.com,Male,$349601.21,177362876,PP
3,Arthur,Cundy,acundy2@blogs.com,Male,$453346.04,882825001,CC
4,Kerwinn,Feathers,kfeathers3@exblog.jp,Male,$301222.26,364540925,PP
5,Derrik,Finker,dfinker4@ebay.co.uk,Male,$818614.79,285866600,CC
6,Byram,Oland,boland5@squarespace.com,Male,$885865.75,672279289,PP
7,Cletus,Sillars,csillars6@mysql.com,Male,$691327.11,12281049,CC
8,Daisie,Rhule,drhule7@amazon.com,Female,$737994.05,650229896,IT
9,Cchaddie,MacParland,cmacparland8@goo.gl,Male,$447191.64,85177727,PP
10,Noreen,Fridlington,nfridlington9@privacy.gov.au,Female,$534790.61,141655143,IT
11,Clemens,Bernadot,cbernadota@netvibes.com,Male,$346317.31,577001419,IT
12,Carter,Oylett,coylettb@mapy.cz,Male,$592376.03,911233541,CC
13,Mariele,Dalziell,mdalziellc@blogtalkradio.com,Female,$523221.26,160832137,PP
14,Libby,Keri,lkerid@dmoz.org,Female,$371563.61,16751500,PP
15,Frasier,Parks,fparkse@com.com,Male,$229064.39,805440667,PP
16,Marcy,Ingre,mingref@amazon.de,Female,$628394.54,666642703,IT
17,Jenni,Berthot,jberthotg@xing.com,Female,$617081.37,979692454,CC
18,Franz,Credland,fcredlandh@ning.com,Male,$637656.38,1024250555,IT
19,Griffith,Yelding,gyeldingi@usa.gov,Male,$877548.96,1008105235,CC
20,Tara,Tolhurst,ttolhurstj@friendfeed.com,Female,$364247.19,81331601,IT
21,Giles,Atherley,gatherleyk@rediff.com,Male,$694700.10,1010666389,IT
22,Frazer,Wickwar,fwickwarl@i2i.jp,Male,$222261.94,565650477,IT
23,Janenna,Joao,jjoaom@addthis.com,Female,$810118.24,499226883,PP
24,Randi,Showalter,rshowaltern@freewebs.com,Female,$896131.34,1047888869,IT
25,Carlee,Otridge,cotridgeo@stumbleupon.com,Female,$743332.62,889178777,IT
26,Gretna,Scholard,gscholardp@parallels.com,Female,$305383.99,880171096,PP
27,Kimbell,Streetley,kstreetleyq@ed.gov,Male,$414177.76,480567695,IT
28,Torrey,Fladgate,tfladgater@fastcompany.com,Male,$710115.96,204925195,IT
29,Moises,Heake,mheakes@dailymail.co.uk,Male,$781757.88,824186349,CC
30,Gusti,Dowbakin,gdowbakint@weibo.com,Female,$457921.92,689283668,PP
