id,nombre,apellido,email,genero,valor_tx,numero_identificacion,tipo_identificacion
1,Lacey,Sieve,lsieve0@de.vu,Female,$116366.32,965813632,CC
2,Cherilynn,Tandey,ctandey1@economist.com,Female,$889018.43,193133762,CC
3,Byron,Killiam,bkilliam2@ihg.com,Male,$564930.33,850054204,CC
4,Becca,Lindbergh,blindbergh3@amazon.de,Female,$143380.47,516129940,IT
5,Chicky,Gentric,cgentric4@histats.com,Male,$978690.92,545325582,IT
6,Bronnie,Geator,bgeator5@csmonitor.com,Male,$781078.18,154850084,CC
7,Terrence,Louisot,tlouisot6@people.com.cn,Male,$709909.82,986626435,CC
8,Whitman,Leighton,wleighton7@irs.gov,Male,$105312.35,274411051,PP
9,Meta,Verni,mverni8@squidoo.com,Female,$331192.47,76777676,IT
10,Ximenez,Evennett,xevennett9@altervista.org,Male,$173841.71,900319940,CC
11,Albert,Britcher,abritchera@baidu.com,Male,$817260.99,150272501,PP
12,Kelcie,Somner,ksomnerb@csmonitor.com,Female,$821412.02,425563438,IT
13,Iain,Barson,ibarsonc@nifty.com,Male,$864075.98,672657695,CC
14,Norene,Infante,ninfanted@squidoo.com,Female,$428524.77,197474278,PP
15,Alicea,Deluze,adeluzee@pinterest.com,Female,$615039.59,62906382,IT
16,Lorita,Dyers,ldyersf@ask.com,Female,$169042.53,624837594,PP
17,Lisabeth,Hort,lhortg@facebook.com,Female,$367824.03,625061177,PP
18,Jody,Dowry,jdowryh@wp.com,Male,$125291.58,359390372,IT
19,Trev,Furst,tfursti@gizmodo.com,Male,$288293.66,1014176710,IT
20,Hermon,Mc Trusty,hmctrustyj@over-blog.com,Male,$338626.12,657446822,CC
21,Weber,Montfort,wmontfortk@earthlink.net,Male,$527089.31,167610868,CC
22,Waverly,Stutter,wstutterl@thetimes.co.uk,Male,$731663.11,1004132976,IT
23,Winslow,McTear,wmctearm@weibo.com,Male,$993657.96,702509966,PP
24,Rog,Geroldi,rgeroldin@addtoany.com,Male,$592302.88,419518987,IT
25,Saxe,Cearley,scearleyo@who.int,Male,$326331.70,577086414,IT
26,Tomaso,Alphonso,talphonsop@kickstarter.com,Male,$236997.98,856365863,CC
